Model	Year	MP	H. Res	V. Res	Interlaced	Optical Zoom	Min Focal Length	Max Focal Length	Max Aperture	Manual Focus	Macro	Exposure Modes	Spot Metering	White Balance Presets	Manual White Bal	Viewfinder	SteadyShot	Picture Effects	Multi-Mode	Thread Size	Sensor Size	Memory Format(s)	FD Speed	USB	Pics/Disk	Manual
FD5	1997	0.31	640	480	Yes	1	47	47	f2.0	No	Yes - Switch	Auto only	No	None (auto only)	No	No	No	No	No	None	1/4	Floppy only	1x	No	30	https://www.sony.com/electronics/support/res/manuals/W000/W0007209M.pdf
FD7	1997	0.31	640	480	Yes	10	40	400	f1.8-2.9	Yes - Ring	Yes - Auto	Auto / Program AE	No	None (auto only)	No	No	No	Yes	No	None (40.5mm lens cap)	1/4	Floppy only	1x	No	30	https://www.sony.com/electronics/support/res/manuals/W000/W0007209M.pdf
FD51	1998	0.31	640	480	Yes	1	47	47	f2.0	No	Yes - Switch	Auto only	No	None (auto only)	No	No	No	Yes	No	None (27mm lens cap)	1/4	Floppy only	2x	No	30	https://www.sony.com/electronics/support/res/manuals/W000/W0007208M.pdf
FD71	1998	0.31	640	480	No	10	40	400	f1.8-2.9	Yes - Ring	Yes - Switch	Auto / Program AE	No	None (auto only)	No	No	No	Yes	Yes	37	1/4	Floppy only	2x	No	30	https://www.sony.com/electronics/support/res/manuals/W000/W0007210M.pdf
FD81	1998	0.79	1024	768	No	3	37	111	f2.0-2.1	Yes - Ring	No	Auto / Program AE	No	None (auto only)	No	No	No	Yes	No	37	1/3	Floppy only	2x	No	10	https://www.sony.com/electronics/support/res/manuals/W000/W0007219M.pdf
FD91	1998	0.79	1024	768	No	14	37	518	f1.8-3.2	Yes - Ring	No	Auto / Program AE / S / A	Yes - Button	Outdoor, indoor	One-push	Yes	Yes	No	No	52	1/3	Floppy only	2x	No	10	https://www.sony.com/electronics/support/res/manuals/W000/W0007229M.pdf
FD73	1999	0.31	640	480	No	10	40	400	f1.8-2.9	No	No	Auto / Program AE	No	None (auto only)	No	No	No	Yes	Yes	37	1/4	Floppy only	2x	No	30	https://www.sony.com/electronics/support/res/manuals/W000/W0007212M.pdf
FD83	1999	1.11	1216	912	No	3	37	111	f2.0-2.1	Yes - Ring	Yes - Menu	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/3	Floppy only	4x	No	8	https://www.sony.com/electronics/support/res/manuals/W000/W0007221M.pdf
FD88	1999	1.23	1280	960	No	8	41	328	f2.8-3.0	Yes - Ring	Yes - Menu	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/3.6	Floppy only	4x	No	6	https://www.sony.com/electronics/support/res/manuals/W000/W0007221M.pdf
FD85	2000	1.23	1280	960	No	3	39	117	f2.8-2.9	Yes - 5 Presets	Yes - Button	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/2.7	Floppy, supports MS adapter	4x	No	6	https://www.sony.com/electronics/support/res/manuals/W000/W0007222M.pdf
FD90	2000	1.63	1472	1104	No	8	41	328	f2.8-3.0	Yes - Ring	Yes - Button	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/3.6	Floppy, supports MS adapter	4x	No	5	https://www.sony.com/electronics/support/res/manuals/W000/W0007222M.pdf
FD95	2000	1.92	1600	1200	No	10	39	390	f2.8	Yes - Ring	Yes - Button	Auto / Program AE / S / A	Yes - Button	Outdoor, indoor	One-push	Yes	Yes	Yes	No	52	1/2.7	Floppy, supports MS adapter	4x	No	4	https://www.sony.com/electronics/support/res/manuals/W000/W0007232M.pdf
FD75	2001	0.31	640	480	No	10	40	400	f1.8-2.9	No	No	Auto / Program AE	No	None (auto only)	No	No	No	Yes	Yes	37	1/4	Floppy only	2x	No	30	https://www.sony.com/electronics/support/res/manuals/3066/30665441M.pdf
FD87	2001	1.23	1280	960	No	3	39	117	f2.8-2.9	Yes - 5 Presets	Yes - Button	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/2.7	Floppy, supports MS adapter	4x	No	6	https://www.sony.com/electronics/support/res/manuals/W000/W0007225M.pdf
FD92	2001	1.63	1472	1104	No	8	41	328	f2.8-3.0	Yes - 5 Presets	Yes - Button	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/3.6	Floppy & MS slot	4x	Yes	5	https://www.sony.com/electronics/support/res/manuals/W000/W0007230M.pdf
FD97	2001	1.92	1600	1200	No	10	39	390	f2.8	Yes - Ring	Yes - Button	Auto / Program AE / S / A	Yes - Button	Outdoor, indoor	One-push	Yes	Yes	Yes	No	52	1/2.7	Floppy & MS slot	4x	Yes	4	https://www.sony.com/electronics/support/res/manuals/W000/W0007234M.pdf
FD100	2002	1.23	1280	960	No	3	41	123	f3.8-3.9	Yes - 5 Presets	Yes - Button	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/2.7	Floppy & MS slot	4x	Yes	6	https://www.sony.com/electronics/support/res/manuals/3073/30730741M.pdf
FD200	2002	1.92	1600	1200	No	3	41	123	f3.8-3.10	Yes - 5 Presets	Yes - Button	Auto / Program AE	Yes - As AE Mode	Outdoor, indoor	Hold	No	No	Yes	No	37	1/2.7	Floppy & MS slot	4x	Yes	4	https://www.sony.com/electronics/support/res/manuals/3073/30730741M.pdf
CD1000	2000	1.92	1600	1200	No	10	39	390	f2.8	Yes - Ring	Yes - Button	Auto / Program AE / S / A	Yes - Button	Outdoor, indoor	One-push	Yes	Yes	Yes	No	52	1/2.7	CD		Yes	160	https://www.sony.com/electronics/support/res/manuals/W000/W0007190M.pdf
CD200	2001	1.92	1600	1200	No	3	39	117	f2.8-2.9	Yes - 14 Presets	Yes - Button	Auto / Program AE / S / A / M	Yes - Button	Outdoor, indoor	One-push	No	No	Yes	No	37	1/2.7	CD		Yes	237	https://www.sony.com/electronics/support/res/manuals/W000/W0007193M.pdf
CD300	2001	3.15	2048	1536	No	3	34	102	f2.0-2.5	Yes - 14 Presets	Yes - Button	Auto / Program AE / S / A / M	Yes - Button	Outdoor, indoor	One-push	No	No	Yes	No	37	1/1.8	CD		Yes	147	https://www.sony.com/electronics/support/res/manuals/W000/W0007193M.pdf
CD250	2002	1.92	1600	1200	No	3	41	123	f3.8-3.9	Yes - 5 Presets	Yes - Button	Auto / Program AE	Yes - Menu	Daylight, cloudy, fluorescent, incandescent	No	No	No	Yes	No	37	1/1.8	CD		Yes	235	https://www.sony.com/electronics/support/res/manuals/W000/W0007197M.pdf
CD400	2002	3.87	2272	1704	No	3	34	102	f2.0-2.5	Yes - 14 Presets	Yes - Button	Auto / Program AE / S / A / M	Yes - Button	Daylight, cloudy, fluorescent, incandescent	One-push	No	No	Yes	No	37	1/2.7	CD		Yes	119	https://www.sony.com/electronics/support/res/manuals/W000/W0007197M.pdf
CD350	2003	3.15	2048	1536	No	3	41	123	f3.8-3.9	Yes - 5 Presets	Yes - Button	Auto / Program AE	Yes - Menu	Daylight, cloudy, fluorescent, incandescent, flash	No	No	No	Yes	No	37	1/2.7	CD		Yes	145	https://www.sony.com/electronics/support/res/manuals/3081/30818351M.pdf
CD500	2003	5.04	2592	1944	No	3	34	102	f2.0-2.5	Yes - 14 Presets	Yes - Button	Auto / Program AE / S / A / M	Yes - Menu	Daylight, cloudy, fluorescent, incandescent, flash	One-push	No	No	Yes	No	37	1/1.8	CD		Yes	95	https://www.sony.com/electronics/support/res/manuals/W000/W0007202M.pdf